strategy,strategy_label,date,asset,asset_label,old_weight,new_weight,delta_weight,portfolio_value_before,trade_notional,side
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-31,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,23415.29181610,-7375.81692207,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-31,long_bond,Obligacje 30+/TLT,0.01500000,0.05000000,0.03500000,23415.29181610,819.53521356,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-01-31,floating_bond,Obligacje/gotowka,0.01500000,0.05000000,0.03500000,23415.29181610,819.53521356,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-03-07,us_equity,SPX,0.90000000,1.21500000,0.31500000,24398.13646533,7685.41298658,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-03-07,tech_equity,NDX,0.00000000,0.31500000,0.31500000,24398.13646533,7685.41298658,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-03-07,long_bond,Obligacje 30+/TLT,0.05000000,0.01500000,-0.03500000,24398.13646533,-853.93477629,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1997-03-07,floating_bond,Obligacje/gotowka,0.05000000,0.01500000,-0.03500000,24398.13646533,-853.93477629,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-09-04,us_equity,SPX,1.21500000,0.72702090,-0.48797910,35489.56875834,-17318.16793486,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-09-04,tech_equity,NDX,0.31500000,0.00000000,-0.31500000,35489.56875834,-11179.21415888,SELL
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-09-04,long_bond,Obligacje 30+/TLT,0.01500000,0.20473433,0.18973433,35489.56875834,6733.58945749,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-09-04,floating_bond,Obligacje/gotowka,0.01500000,0.06824478,0.05324478,35489.56875834,1889.63413158,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-11-06,us_equity,SPX,0.72702090,1.21500000,0.48797910,35783.22999651,17461.46848250,BUY
strategy_recommended_mix,Rekomendowany miks 30/70/0,1998-11-06,tech_equity,NDX,0.00000000,0.31500000,0.31500000,35783.22999651,11271.71744890,BUY
