date,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40
1998-09-25,12659.215361121633,34417.401965964964,52084.76598339938,319963.0752341908,16995.126371170056,10974.14537761032,6968.815820877842
1998-10-02,12470.9349915462,33905.51232848557,51310.10983695909,315204.2679671464,16419.45730009625,10723.263742029265,6886.237358981012
1998-10-09,12089.048564416527,32867.25377193759,49738.88566374752,305552.0460774809,16062.849085140397,10469.66778192044,6710.08986513955
1998-10-16,12889.01415218246,35042.17033727518,53030.24450748154,325771.26521875605,17280.41857933161,11154.841968108049,7079.7294563267515
1998-10-23,12856.938196729667,34954.96342746531,52898.27198108125,324960.54187967215,17417.96795109696,11187.175855407768,7064.41913518609
1998-10-30,13161.56692055942,35783.17662546707,54151.62894988856,332660.0667317874,17932.5064282975,11462.976733853124,7204.054031453815
1998-11-06,13389.539370331497,36352.883161010424,54981.28996215259,336758.7954036357,18604.979193597635,11762.373980874714,7310.220531295926
1998-11-13,13312.779798642197,35879.1844699654,54092.89231507395,326442.42395439534,18457.232331346524,11707.99196594494,7300.67688101866
1998-11-20,13674.489889548096,37592.39043569353,57152.869943819336,359967.65376529674,19012.536615360637,11991.959760549997,7435.172644278832
1998-11-27,13980.785025315057,39060.08828789588,59791.921156221084,390076.6996547785,19481.22261806945,12232.356817673757,7549.98375871979
1998-12-04,13895.505055871377,38470.4410725492,58658.78214524849,376138.7912248506,19297.830836449644,12175.035781545477,7550.298872367327
1998-12-11,13766.345820880577,37793.77521495297,57418.50673622498,361186.9614462407,19094.04206093087,12076.047136149988,7507.256658131776
1998-12-18,13959.620311294577,38691.933040690375,59022.35422891459,379326.756403354,19382.375802476556,12229.1458363165,7584.243921150185
1998-12-25,14357.92703637986,40827.93412198458,62955.39319986395,425293.4865233839,20067.31060164904,12529.084843611525,7688.262737923995
1999-01-01,14449.202946821973,41157.367061370365,63509.54983690299,431740.3606212898,20169.533096583553,12607.042159113973,7744.773272979468
1999-01-08,14894.207353594686,43493.37179210853,67820.80675193723,485049.17259454075,20895.356491144354,12947.563923214875,7884.448350411499
1999-01-15,14577.18740355576,41648.73811240912,64330.321745874484,438807.54970960564,20343.32120131675,12712.587518030614,7806.569091066561
1999-01-22,14390.808762046268,40649.071589115985,62476.99890383749,415201.28233979223,20046.871336273525,12570.22377542283,7745.483120582641
1999-01-29,14926.91263435455,43338.27400362062,67384.1733692889,474582.4346011445,20880.01999686662,12986.882559377025,7937.051718257587
1999-02-05,14499.896937238665,41303.88259879787,63691.519558559296,426428.2211050398,20292.210960313223,12645.818884858645,7743.605238273285
1999-02-12,14434.365999334805,41025.15053401002,63200.86703762911,419979.339973125,20220.657428079267,12591.303695254812,7704.14619156695
