date,strategy,strategy_recommended_mix,strategy_medium_aggressive,strategy_aggressive,gross_strategy,gross_strategy_medium_aggressive,gross_strategy_aggressive,benchmark_100_equity,benchmark_80_20,benchmark_60_40,turnover,turnover_medium_aggressive,turnover_aggressive,medium_aggressive_leverage,aggressive_leverage,medium_aggressive_financing_cost,aggressive_financing_cost
1975-01-24,0.0011288493175451244,0.0011288493175451244,0.0011288493175451244,0.0011288493175451244,0.0011288493175451244,0.0011288493175451244,0.0011288493175451244,0.016703900721808385,0.012112735962062107,0.0075215712023158285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-01-31,0.012512695611265836,0.012512695611265834,0.012512695611265836,0.012512695611265836,0.012512695611265836,0.012512695611265836,0.012512695611265836,0.016703900721808385,0.015196966731292848,0.01369003274077731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-02-07,0.017859293842661283,0.017859293842661283,0.017859293842661283,0.017859293842661283,0.017859293842661283,0.017859293842661283,0.017859293842661283,0.025994294156319153,0.02318505070967071,0.020375807263022266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-02-14,0.011589010391334234,0.011589010391334233,0.011589010391334234,0.011589010391334234,0.011589010391334234,0.011589010391334234,0.011589010391334234,0.025994294156319153,0.02149928147890149,0.017004268801483823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-02-21,0.016758513510355517,0.016758513510355517,0.016758513510355517,0.016758513510355517,0.016758513510355517,0.016758513510355517,0.016758513510355517,0.025994294156319153,0.022898127632747626,0.019801961109176095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-02-28,-0.003030048567350686,-0.0030300485673506856,-0.003030048567350686,-0.003030048567350686,-0.002383627592987069,-0.002383627592987069,-0.002383627592987069,0.025994294156319153,0.017713127632747634,0.009431961109176108,0.32321048718180856,0.32321048718180856,0.32321048718180856,0.0,0.0,0.0,0.0
1975-03-07,0.0005540308587006655,0.0005540308587006655,0.0005540308587006655,0.0005540308587006655,0.0005540308587006655,0.0005540308587006655,0.0005540308587006655,0.01221455788551462,0.00921856938533479,0.0062225808851549555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-03-14,0.000537870334341359,0.000537870334341359,0.000537870334341359,0.000537870334341359,0.000537870334341359,0.000537870334341359,0.000537870334341359,0.01221455788551462,0.009220877077642443,0.0062271962697702625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-03-21,-0.014970639022722488,-0.014970639022722486,-0.014970639022722488,-0.014970639022722488,-0.014970639022722488,-0.014970639022722488,-0.014970639022722488,0.01221455788551462,0.0064231847699501715,0.0006318116543857204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-03-28,-0.013394987897711236,-0.013394987897711236,-0.013394987897711236,-0.013394987897711236,-0.013394987897711236,-0.013394987897711236,-0.013394987897711236,0.01221455788551462,0.00671318476995016,0.0012118116543856968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-04-04,-0.0031960870937699096,-0.003196087093769909,-0.0031960870937699096,-0.0031960870937699096,-0.0031960870937699096,-0.0031960870937699096,-0.0031960870937699096,0.0037002995006765182,0.002291008831310437,0.0008817181619443551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975-04-11,-0.003191114624736343,-0.003191114624736343,-0.003191114624736343,-0.003191114624736343,-0.003191114624736343,-0.003191114624736343,-0.003191114624736343,0.0037002995006765182,0.0022937011390027446,0.0008871027773289706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
