date,s1_equity,s2_equity,cycle_reentry_trigger,gdp_reentry_boost,soft_landing_reentry,soft_landing_regime,fixed_bond_mode,long_bond_share,gold_mode,bottom_tilt,fed_unemployment_bear_cross,cpi_yoy,real_10y,gdp_yoy,gdp_mom,sp_drawdown,unemployment_26w_change,shiller_fallback_stress,inflation_tightening_regime,stagflation_regime,confirmed_expansion_regime,oil_regime,oil_strong_regime,oil_momentum_26w,s3_equity,s3_bond,s3_raw_equity,s3_raw_bond,pe_branch,forward_pe_proxy
1974-12-20,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.095032397408211,-4.825032397408211,-1.9457634317057715,0.0,-0.43353040540540544,1.7999999999999998,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.505803056330201
1974-12-27,0.2,0.8,,False,False,False,False,0.25,False,False,False,12.095032397408211,-4.705032397408211,-1.9457634317057715,0.0,-0.43353040540540544,1.7999999999999998,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.408272364204767
1975-01-03,0.2,0.0,,False,False,False,True,0.5,False,False,True,11.752136752136755,-4.322136752136755,-2.2997714710448536,-1.2176343312886084,-0.38716216216216215,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.56848393401204
1975-01-10,0.2,0.0,,False,False,False,True,0.5,False,False,False,11.752136752136755,-4.382136752136755,-2.2997714710448536,0.0,-0.38716216216216215,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.7286955038193135
1975-01-17,0.2,0.0,,False,False,False,True,0.5,False,False,False,11.752136752136755,-4.2221367521367545,-2.2997714710448536,0.0,-0.38716216216216215,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,6.888907073626586
1975-01-24,0.2,0.0,,False,False,False,True,0.5,False,False,False,11.752136752136755,-4.112136752136755,-2.2997714710448536,0.0,-0.38716216216216215,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,7.04911864343386
1975-01-31,0.2,0.0,,False,False,False,True,0.75,False,False,False,10.570824524312904,-3.040824524312904,-2.2997714710448536,0.0,-0.38716216216216215,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,7.04911864343386
1975-02-07,0.2,0.0,,False,False,False,True,0.75,False,False,False,11.205073995771686,-3.825073995771686,-2.2997714710448536,0.0,-0.3234797297297298,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,7.265432971853794
1975-02-14,0.2,0.0,,False,False,False,True,0.75,False,False,False,11.205073995771686,-3.8550739957716864,-2.2997714710448536,0.0,-0.3234797297297298,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,7.481747300273728
1975-02-21,0.2,0.0,,False,False,False,True,0.75,False,False,False,11.205073995771686,-3.9850739957716863,-2.2997714710448536,0.0,-0.3234797297297298,2.5999999999999996,True,False,True,False,False,False,,0.8607370769091486,0.13926292309085142,0.9,0.1,rising,7.698061628693662
